State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Alaska,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Arizona,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Arkansas,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
California,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Colorado,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Connecticut,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Delaware,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Florida,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Georgia,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Hawaii,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Idaho,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Illinois,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Indiana,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Iowa,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Kansas,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Kentucky,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Louisiana,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Maine,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Maryland,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Massachusetts,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Michigan,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Minnesota,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Mississippi,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Missouri,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Montana,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Nebraska,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Nevada,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
New Hampshire,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
New Jersey,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
New Mexico,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
New York,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
North Carolina,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
North Dakota,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Ohio,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Oklahoma,Speak Now,Speak Now,Red,Red,1989,Red,None,None,None,None,None,None,None,None
Oregon,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Pennsylvania,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Rhode Island,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
South Carolina,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
South Dakota,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Tennessee,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Texas,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Utah,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Vermont,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Virginia,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Washington,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
West Virginia,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Wisconsin,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None
Wyoming,Speak Now,Speak Now,Red,Red,1989,1989,None,None,None,None,None,None,None,None